slope_degrees,rainfall_mm,soil_depth_m,vegetation_index,land_stability_score
34.0,237.1,2.3,0.3,35.71
16.1,171.9,4.6,0.8,78.0
24.0,175.6,2.4,0.1,20.59
33.4,67.4,3.3,0.4,36.25
37.2,202.5,0.8,0.3,13.96
17.3,191.4,2.8,0.6,56.51
10.1,98.6,3.1,0.4,46.02
19.7,172.1,0.7,0.4,23.19
20.4,256.9,4.5,0.5,61.81
34.7,264.1,4.4,0.5,52.02
28.4,450.5,1.5,0.3,29.03
28.6,471.6,2.9,0.8,78.21
7.3,83.6,3.6,0.5,53.78
6.2,491.7,3.5,0.7,81.0
6.7,365.1,3.8,0.5,81.81
34.1,281.5,2.6,0.7,51.62
36.4,119.9,4.3,0.1,33.61
19.0,143.4,2.2,0.2,23.35
6.1,381.2,1.3,0.5,57.01
38.2,397.6,0.7,0.1,16.12
32.3,365.6,2.3,0.5,51.09
42.5,405.1,3.1,0.6,52.03
28.4,484.6,1.2,0.1,28.45
28.1,367.1,1.7,0.7,63.13
29.3,339.3,3.9,0.2,47.22
